Date, PP_CRS_WGT_WT_DS , PP_CRS_WGT_WT_NS 
2020-06-01,794,787
2020-06-02,649,417
2020-06-03,138,428
2020-06-04,798,889
2020-06-05,547,701
2020-06-06,772,596
2020-06-07,750,849
2020-06-08,743,682
2020-06-09,140,780
2020-06-10,417,852
2020-06-11,612,594
2020-06-12,525,766
2020-06-13,573,637
2020-06-14,805,854
2020-06-15,780,686
2020-06-16,534,469
2020-06-17,271,1089
2020-06-18,626,67
2020-06-19,308,816
2020-06-20,964,888
2020-06-21,737,786
2020-06-22,286,562
2020-06-23,412,466
2020-06-24,385,348
2020-06-25,362,628
2020-06-26,599,701
2020-06-27,713,630
2020-06-28,724,690
2020-06-29,839,743
2020-06-30,680,1285
